Ligand_Name,Binding_Affinity_kcal_mol
mol_975.pdbqt,-5.166
mol_1117.pdbqt,-9.24
mol_371.pdbqt,-10.964
mol_382.pdbqt,-8.47
mol_1086.pdbqt,-10.04
mol_1266.pdbqt,-10.043
mol_1069.pdbqt,-9.779
mol_752.pdbqt,-9.308
mol_599.pdbqt,-8.682
mol_1260.pdbqt,-8.58
mol_603.pdbqt,-9.877
mol_392.pdbqt,-9.821
mol_906.pdbqt,-9.719
mol_491.pdbqt,-9.065
mol_663.pdbqt,-9.229
mol_1807.pdbqt,-9.619
mol_1629.pdbqt,-9.573
mol_1001.pdbqt,-5.406
mol_1816.pdbqt,-9.314
mol_531.pdbqt,-10.373
mol_40.pdbqt,-10.213
mol_174.pdbqt,-9.442
mol_1161.pdbqt,-10.113
mol_1963.pdbqt,-11.87
mol_1528.pdbqt,-10.254
mol_629.pdbqt,-9.178
mol_789.pdbqt,-9.457
mol_1853.pdbqt,-8.601
mol_1363.pdbqt,-10.573
mol_1597.pdbqt,-7.959
mol_727.pdbqt,-10.303
mol_1559.pdbqt,-10.249
mol_1625.pdbqt,-10.333
mol_1197.pdbqt,-8.927
mol_1474.pdbqt,-9.034
mol_1406.pdbqt,-9.022
mol_1512.pdbqt,-10.912
mol_762.pdbqt,-9.807
mol_751.pdbqt,-9.271
mol_617.pdbqt,-8.637
mol_1931.pdbqt,-9.742
mol_321.pdbqt,-10.604
mol_1522.pdbqt,-4.681
mol_427.pdbqt,-8.779
mol_1380.pdbqt,-10.618
mol_1957.pdbqt,-11.081
mol_198.pdbqt,-6.818
mol_461.pdbqt,-8.208
mol_988.pdbqt,-8.28
mol_55.pdbqt,-9.573
mol_1894.pdbqt,-9.415
mol_750.pdbqt,-10.107
mol_1830.pdbqt,-9.11
mol_1424.pdbqt,-9.994
mol_1350.pdbqt,-10.858
mol_1269.pdbqt,-9.434
mol_422.pdbqt,-7.552
mol_1994.pdbqt,-7.465
mol_1986.pdbqt,-6.555
mol_802.pdbqt,-9.964
mol_1045.pdbqt,-10.062
mol_1403.pdbqt,-8.826
mol_1217.pdbqt,-8.669
mol_58.pdbqt,-9.316
mol_1572.pdbqt,-10.801
mol_1067.pdbqt,-8.783
mol_1651.pdbqt,-9.944
mol_719.pdbqt,-9.119
mol_378.pdbqt,-8.57
mol_822.pdbqt,-10.422
mol_364.pdbqt,-8.929
mol_666.pdbqt,-9.188
mol_1833.pdbqt,-9.414
mol_1821.pdbqt,-8.048
mol_710.pdbqt,-10.596
mol_1295.pdbqt,-9.482
mol_168.pdbqt,-10.058
mol_441.pdbqt,-8.206
mol_743.pdbqt,-8.584
mol_1310.pdbqt,-9.15
mol_753.pdbqt,-10.056
mol_332.pdbqt,-9.724
mol_1044.pdbqt,-9.523
mol_270.pdbqt,-7.301
mol_106.pdbqt,-10.775
mol_1443.pdbqt,-9.371
mol_846.pdbqt,-10.145
mol_456.pdbqt,-9.437
mol_826.pdbqt,-9.45
mol_1867.pdbqt,-9.972
mol_1684.pdbqt,-3.997
mol_509.pdbqt,-9.812
mol_1229.pdbqt,-9.12
mol_1596.pdbqt,-9.795
mol_1678.pdbqt,-7.823
mol_844.pdbqt,-9.203
mol_657.pdbqt,-8.211
mol_1252.pdbqt,-9.318
mol_1510.pdbqt,-9.306
mol_1128.pdbqt,-9.29
mol_117.pdbqt,-9.914
mol_36.pdbqt,-9.646
mol_295.pdbqt,-10.072
mol_760.pdbqt,-10.204
mol_1650.pdbqt,-9.731
mol_380.pdbqt,-9.556
mol_1322.pdbqt,-9.289
mol_1398.pdbqt,-9.009
mol_116.pdbqt,-10.417
mol_1233.pdbqt,-10.208
mol_389.pdbqt,-10.293
mol_538.pdbqt,-8.087
mol_1378.pdbqt,-9.56
mol_1334.pdbqt,-8.366
